Year,Week,Violence_score
1992,1,48
1992,2,54
1992,3,61
1992,4,60
1992,5,46
1992,6,63
1992,7,54
1992,8,49
1992,9,65
1992,10,60
1992,11,59
1992,12,56
1992,13,64
1992,14,70
1992,15,67
1992,16,70
1992,17,72
1992,18,66
1992,19,49
1992,20,46
1992,21,58
1992,22,55
1992,23,47
1992,24,57
1992,25,79
1992,26,55
1992,27,62
1992,28,69
1992,29,59
1992,30,77
1992,31,62
1992,32,57
1992,33,61
1992,34,58
1992,35,68
1992,36,53
1992,37,69
1992,38,56
1992,39,57
1992,40,59
1992,41,52
1992,42,65
1992,43,59
1992,44,61
1992,45,59
1992,46,55
1992,47,61
1992,48,50
1992,49,66
1992,50,59
1992,51,44
1992,52,45
1992,53,14
1993,1,58
1993,2,55
1993,3,58
1993,4,62
1993,5,60
1993,6,43
1993,7,58
1993,8,63
1993,9,67
1993,10,51
1993,11,53
1993,12,57
1993,13,63
1993,14,38
1993,15,57
1993,16,53
1993,17,47
1993,18,51
1993,19,52
1993,20,58
1993,21,52
1993,22,46
1993,23,46
1993,24,50
1993,25,46
1993,26,49
1993,27,50
1993,28,43
1993,29,48
1993,30,45
1993,31,44
1993,32,49
1993,33,65
1993,34,47
1993,35,58
1993,36,54
1993,37,61
1993,38,48
1993,39,65
1993,40,56
1993,41,64
1993,42,54
1993,43,56
1993,44,58
1993,45,50
1993,46,48
1993,47,40
1993,48,56
1993,49,51
1993,50,44
1993,51,31
1993,52,24
1993,53,21
1994,1,48
1994,2,58
1994,3,49
1994,4,49
1994,5,48
1994,6,46
1994,7,63
1994,8,66
1994,9,66
1994,10,43
1994,11,58
1994,12,50
1994,13,61
1994,14,49
1994,15,43
1994,16,56
1994,17,31
1994,18,49
1994,19,47
1994,20,48
1994,21,48
1994,22,14
1994,52,17
1997,1,1948
1997,2,1509
1997,3,1629
1997,4,1836
1997,5,1736
1997,6,1591
1997,7,1655
1997,8,1576
1997,9,1723
1997,10,1619
1997,11,1698
1997,12,1733
1997,13,1661
1997,14,1719
1997,15,1592
1997,16,1774
1997,17,1704
1997,18,1829
1997,19,1812
1997,20,1822
1997,21,1813
1997,22,1898
1997,23,1728
1997,24,1680
1997,25,1792
1997,26,1541
1997,27,1534
1997,28,1643
1997,29,1872
1997,30,1823
1997,31,1840
1997,32,1710
1997,33,1865
1997,34,1819
1997,35,1730
1997,36,1752
1997,37,1796
1997,38,1773
1997,39,1750
1997,40,1791
1997,41,1636
1997,42,1661
1997,43,1357
1997,44,1643
1997,45,1663
1997,46,1471
1997,47,1639
1997,48,1603
1997,49,1660
1997,50,1572
1997,51,1591
1997,52,1346
1998,1,1115
1998,2,1727
1998,3,1836
1998,4,1780
1998,5,1812
1998,6,1870
1998,7,1851
1998,8,1790
1998,9,1850
1998,10,1664
1998,11,1779
1998,12,1764
1998,13,1871
1998,14,1894
1998,15,1743
1998,16,1778
1998,17,1808
1998,18,1804
1998,19,1794
1998,20,1885
1998,21,1830
1998,22,1753
1998,23,1843
1998,24,1758
1998,25,1850
1998,26,1764
1998,27,1843
1998,28,1739
1998,29,1748
1998,30,1766
1998,31,1821
1998,32,1760
1998,33,1726
1998,34,1756
1998,35,1715
1998,36,1767
1998,37,1689
1998,38,1723
1998,39,1701
1998,40,1806
1998,41,1773
1998,42,1648
1998,43,1676
1998,44,1683
1998,45,1561
1998,46,1515
1998,47,1711
1998,48,1605
1998,49,1641
1998,50,1551
1998,51,1522
1998,52,1134
1998,53,837
1999,1,1594
1999,2,1577
1999,3,1559
1999,4,1563
1999,5,1645
1999,6,1432
1999,7,1499
1999,8,1491
1999,9,1565
1999,10,1509
1999,11,1584
1999,12,1499
1999,13,1552
1999,14,1452
1999,15,1429
1999,16,1361
1999,17,1426
1999,18,1369
1999,19,1429
1999,20,1401
1999,21,1377
1999,22,1666
1999,23,1407
1999,24,1416
1999,25,1482
1999,26,1486
1999,27,1473
1999,28,1545
1999,29,1523
1999,30,1582
1999,31,1623
1999,32,1549
1999,33,1499
1999,34,1509
1999,35,1593
1999,36,1500
1999,37,1422
1999,38,1411
1999,39,1493
1999,40,1512
1999,41,1425
1999,42,1483
1999,43,1462
1999,44,1462
1999,45,1394
1999,46,1440
1999,47,1275
1999,48,1387
1999,49,1389
1999,50,1505
1999,51,1206
1999,52,996
1999,53,635
2000,1,1615
2000,2,1653
2000,3,1589
2000,4,1560
2000,5,1636
2000,6,1588
2000,7,1575
2000,8,1556
2000,9,1629
2000,10,1568
2000,11,1476
2000,12,1574
2000,13,1582
2000,14,1471
2000,15,1524
2000,16,1610
2000,17,1597
2000,18,1594
2000,19,1538
2000,20,1530
2000,21,1607
2000,22,1644
2000,23,1514
2000,24,1532
2000,25,1586
2000,26,1616
2000,27,1640
2000,28,1673
2000,29,1592
2000,30,1603
