Year,Week,Violence_score
2005,1,481
2005,2,498
2005,3,582
2005,4,610
2005,5,631
2005,6,543
2005,7,534
2005,8,573
2005,9,609
2005,10,589
2005,11,559
2005,12,547
2005,13,652
2005,14,693
2005,15,706
2005,16,632
2005,17,641
2005,18,626
2005,19,685
2005,20,664
2005,21,658
2005,22,625
2005,23,644
2005,24,656
2005,25,614
2005,26,719
2005,27,654
2005,28,657
2005,29,732
2005,30,711
2005,31,762
2005,32,738
2005,33,745
2005,34,715
2005,35,711
2005,36,639
2005,37,668
2005,38,648
2005,39,653
2005,40,617
2005,41,683
2005,42,682
2005,43,656
2005,44,630
2005,45,609
2005,46,610
2005,47,550
2005,48,512
2005,49,541
2005,50,530
2005,51,480
2005,52,498
2005,53,170
2006,1,572
2006,2,554
2006,3,523
2006,4,539
2006,5,488
2006,6,552
2006,7,491
2006,8,537
2006,9,589
2006,10,540
2006,11,530
2006,12,559
2006,13,555
2006,14,621
2006,15,559
2006,16,596
2006,17,575
2006,18,613
2006,19,619
2006,20,659
2006,21,664
2006,22,711
2006,23,673
2006,24,666
2006,25,721
2006,26,764
2006,27,697
2006,28,661
2006,29,693
2006,30,674
2006,31,687
2006,32,715
2006,33,642
2006,34,684
2006,35,656
2006,36,730
2006,37,619
2006,38,632
2006,39,651
2006,40,636
2006,41,592
2006,42,588
2006,43,609
2006,44,596
2006,45,592
2006,46,545
2006,47,514
2006,48,502
2006,49,650
2006,50,513
2006,51,518
2006,52,593
2007,1,712
2007,2,512
2007,3,498
2007,4,531
2007,5,473
2007,6,528
2007,7,518
2007,8,516
2007,9,583
2007,10,524
2007,11,619
2007,12,585
2007,13,594
2007,14,531
2007,15,628
2007,16,606
2007,17,650
2007,18,661
2007,19,577
2007,20,696
2007,21,643
2007,22,690
2007,23,692
2007,24,705
2007,25,682
2007,26,778
2007,27,827
2007,28,759
2007,29,778
2007,30,758
2007,31,803
2007,32,766
2007,33,765
2007,34,722
2007,35,742
2007,36,718
2007,37,694
2007,38,645
2007,39,697
2007,40,694
2007,41,666
2007,42,665
2007,43,698
2007,44,702
2007,45,584
2007,46,618
