Year,Week,Violence_score
1997,1,438
1997,2,14
1997,3,26
1997,4,22
1997,5,23
1997,6,19
1997,7,24
1997,8,15
1997,9,36
1997,10,24
1997,11,16
1997,12,25
1997,13,22
1997,14,23
1997,15,24
1997,16,22
1997,17,32
1997,18,40
1997,19,27
1997,20,24
1997,21,28
1997,22,41
1997,23,35
1997,24,35
1997,25,29
1997,26,46
1997,27,82
1997,28,62
1997,29,84
1997,30,85
1997,31,131
1997,32,151
1997,33,118
1997,34,128
1997,35,155
1997,36,190
1997,37,170
1997,38,197
1997,39,216
1997,40,809
1997,41,960
1997,42,985
1997,43,951
1997,44,938
1997,45,973
1997,46,959
1997,47,1100
1997,48,915
1997,49,948
1997,50,1018
1997,51,991
1997,52,839
1998,1,759
1998,2,965
1998,3,1051
1998,4,1036
1998,5,1054
1998,6,1016
1998,7,955
1998,8,909
1998,9,1036
1998,10,1044
1998,11,1057
1998,12,977
1998,13,1051
1998,14,1145
1998,15,1096
1998,16,1133
1998,17,1065
1998,18,1198
1998,19,1155
1998,20,1132
1998,21,1089
1998,22,1112
1998,23,1116
1998,24,1040
1998,25,1140
1998,26,1103
1998,27,479
1998,28,252
1998,29,294
1998,30,306
1998,31,611
1998,32,953
1998,33,998
1998,34,960
1998,35,978
1998,36,1087
1998,37,1057
1998,38,1101
1998,39,1172
1998,40,1211
1998,41,1156
1998,42,1137
1998,43,1167
1998,44,1255
1998,45,1095
1998,46,1076
1998,47,1140
1998,48,1153
1998,49,1273
1998,50,1061
1998,51,1128
1998,52,964
1998,53,595
1999,1,1191
1999,2,1259
1999,3,1251
1999,4,1205
1999,5,1198
1999,6,1156
1999,7,1106
1999,8,1132
1999,9,1276
1999,10,1181
1999,11,1144
1999,12,1218
1999,13,1207
1999,14,1337
1999,15,1259
1999,16,1371
1999,17,1349
1999,18,1324
1999,19,1327
1999,20,1323
1999,21,1265
1999,22,1369
1999,23,1134
1999,24,1286
1999,25,1263
1999,26,1330
1999,27,1299
1999,28,1265
1999,29,1280
1999,30,1380
1999,31,1310
1999,32,1262
1999,33,1259
1999,34,1267
1999,35,1272
1999,36,1330
1999,37,1178
1999,38,1294
1999,39,1275
1999,40,1195
1999,41,1275
1999,42,1192
1999,43,1319
1999,44,1272
1999,45,1226
1999,46,1141
1999,47,1082
1999,48,1188
1999,49,1192
1999,50,1181
1999,51,1066
1999,52,822
1999,53,665
2000,1,1128
2000,2,1219
2000,3,1182
2000,4,1054
2000,5,1166
2000,6,1181
2000,7,1143
2000,8,1182
2000,9,1261
2000,10,1260
2000,11,1261
2000,12,1303
2000,13,1235
2000,14,1268
2000,15,1332
2000,16,1442
2000,17,1430
2000,18,1429
2000,19,1387
2000,20,1464
2000,21,1451
2000,22,1424
2000,23,1368
2000,24,1451
2000,25,1422
2000,26,1480
2000,27,1507
2000,28,1453
2000,29,1439
2000,30,1495
2000,31,1560
2000,32,1581
2000,33,1540
2000,34,1402
2000,35,1665
2000,36,1567
2000,37,1603
2000,38,1624
2000,39,1523
2000,40,1480
2000,41,1372
2000,42,1361
2000,43,1497
2000,44,1485
2000,45,1413
2000,46,1361
2000,47,1373
2000,48,1486
2000,49,1446
2000,50,1417
2000,51,1406
2000,52,1598
2001,1,1912
2001,2,1636
2001,3,1756
2001,4,1694
2001,5,1695
2001,6,1631
2001,7,1712
2001,8,1695
2001,9,1726
2001,10,1670
2001,11,1783
2001,12,1802
2001,13,1897
2001,14,1944
2001,15,1937
2001,16,1930
2001,17,1885
2001,18,2003
2001,19,1936
2001,20,2078
2001,21,1927
2001,22,2120
2001,23,1958
2001,24,2028
2001,25,2058
2001,26,1971
2001,27,2118
2001,28,2107
2001,29,2017
2001,30,1985
2001,31,2051
2001,32,1926
2001,33,1977
2001,34,2006
2001,35,1990
2001,36,1962
2001,37,2076
2001,38,2006
2001,39,2172
2001,40,2206
2001,41,2104
2001,42,2161
2001,43,2049
2001,44,2068
2001,45,1936
2001,46,1834
2001,47,1878
2001,48,1993
2001,49,2036
2001,50,1954
2001,51,1893
2001,52,1652
2002,1,2205
2002,2,1833
2002,3,1756
2002,4,1744
2002,5,1673
2002,6,1684
2002,7,1779
2002,8,1882
2002,9,1727
2002,10,1992
2002,11,1889
2002,12,1863
2002,13,1919
2002,14,2237
2002,15,2282
2002,16,2358
2002,17,2204
2002,18,2321
2002,19,2346
2002,20,2335
2002,21,2262
2002,22,2424
2002,23,2397
2002,24,2314
2002,25,2366
2002,26,2487
2002,27,2358
2002,28,2427
2002,29,2610
2002,30,2514
2002,31,2522
2002,32,2515
2002,33,2513
2002,34,2374
2002,35,2477
2002,36,2337
2002,37,2454
2002,38,2328
2002,39,2317
2002,40,2439
2002,41,2214
2002,42,2277
2002,43,2349
2002,44,2334
2002,45,2342
2002,46,2381
2002,47,2216
2002,48,2120
2002,49,2160
2002,50,2367
2002,51,2250
2002,52,1867
2003,1,2430
2003,2,2177
2003,3,2133
2003,4,2149
2003,5,2010
2003,6,1325
2003,7,1399
2003,8,1404
2003,9,1378
2003,10,1577
2003,11,1579
2003,12,1522
2003,13,1605
2003,14,1684
2003,15,1651
2003,16,1727
2003,17,1635
2003,18,1862
2003,19,1683
2003,20,1799
2003,21,1668
2003,22,1852
2003,23,1649
2003,24,1689
2003,25,1718
2003,26,1693
