Year,Week,Violence_score
1993,3,1
1993,13,2
1993,20,1
1993,22,2
1993,26,1
1993,28,1
1993,30,6
1993,34,1
1993,35,2
1993,36,1
1993,37,1
1993,39,5
1993,40,1
1993,42,1
1993,43,6
1993,44,1
1993,46,1
1993,47,1
1993,48,12
1993,49,1
1993,50,6
1993,51,5
1993,52,34
1994,1,66
1994,2,88
1994,3,75
1994,4,63
1994,5,87
1994,6,62
1994,7,82
1994,8,82
1994,9,86
1994,10,73
1994,11,86
1994,12,86
1994,13,95
1994,14,104
1994,15,83
1994,16,86
1994,17,94
1994,18,94
1994,19,82
1994,20,94
1994,21,81
1994,22,110
1994,23,102
1994,24,116
1994,25,101
1994,26,123
1994,27,114
1994,28,104
1994,29,94
1994,30,102
1994,31,114
1994,32,110
1994,33,101
1994,34,135
1994,35,116
1994,36,92
1994,37,104
1994,38,122
1994,39,137
1994,40,129
1994,41,130
1994,42,143
1994,43,142
1994,44,119
1994,45,86
1994,46,120
1994,47,101
1994,48,124
1994,49,88
1994,50,106
1994,51,106
1994,52,128
1995,1,82
1995,2,95
1995,3,86
1995,4,101
1995,5,91
1995,6,72
1995,7,109
1995,8,88
1995,9,81
1995,10,68
1995,11,88
1995,12,107
1995,13,114
1995,14,89
1995,15,127
1995,16,118
1995,17,99
1995,18,117
1995,19,104
1995,20,108
1995,21,115
1995,22,109
1995,23,119
1995,24,110
1995,25,158
1995,26,111
1995,27,130
1995,28,126
1995,29,134
1995,30,122
1995,31,127
1995,32,123
1995,33,140
1995,34,115
1995,35,94
1995,36,107
1995,37,114
1995,38,115
1995,39,111
1995,40,111
1995,41,109
1995,42,128
1995,43,122
1995,44,130
1995,45,116
1995,46,105
1995,47,106
1995,48,91
1995,49,98
1995,50,78
1995,51,69
1995,52,100
1996,1,77
1996,2,88
1996,3,87
1996,4,80
1996,5,90
1996,6,89
1996,7,69
1996,8,95
1996,9,78
1996,10,74
1996,11,98
1996,12,90
1996,13,106
1996,14,86
1996,15,102
1996,16,101
1996,17,80
1996,18,107
1996,19,101
1996,20,107
1996,21,104
1996,22,129
1996,23,119
1996,24,139
1996,25,103
1996,26,93
1996,27,108
1996,28,107
1996,29,111
1996,30,112
1996,31,128
1996,32,120
1996,33,123
1996,34,118
1996,35,121
1996,36,111
1996,37,106
1996,38,105
1996,39,90
1996,40,60
1996,41,50
1996,42,37
1996,43,3
1996,44,2
1996,45,1
1997,1,73
1997,2,56
1997,3,76
1997,4,55
1997,5,59
