Year,Week,Violence_score
1998,1,15
1998,2,7
1998,3,2
1998,4,3
1998,5,9
1998,6,5
1998,7,8
1998,8,6
1998,9,12
1998,10,8
1998,11,8
1998,12,10
1998,13,13
1998,14,14
1998,15,16
1998,16,6
1998,17,7
1998,18,17
1998,19,10
1998,20,6
1998,21,11
1998,22,9
1998,23,28
1998,24,17
1998,25,22
1998,26,11
1998,27,25
1998,28,19
1998,29,19
1998,30,15
1998,31,26
1998,32,46
1998,33,35
1998,34,56
1998,35,51
1998,36,65
1998,37,47
1998,38,55
1998,39,64
1998,40,167
1998,41,229
1998,42,227
1998,43,238
1998,44,280
1998,45,269
1998,46,292
1998,47,333
1998,48,303
1998,49,470
1998,50,438
1998,51,436
1998,52,429
1998,53,226
1999,1,606
1999,2,735
1999,3,734
1999,4,725
1999,5,815
1999,6,737
1999,7,729
1999,8,709
1999,9,807
1999,10,707
1999,11,773
1999,12,834
1999,13,883
1999,14,835
1999,15,842
1999,16,837
1999,17,846
1999,18,848
1999,19,863
1999,20,874
1999,21,848
1999,22,974
1999,23,945
1999,24,894
1999,25,947
1999,26,992
1999,27,922
1999,28,918
1999,29,943
1999,30,911
1999,31,955
1999,32,986
1999,33,880
1999,34,957
1999,35,874
1999,36,890
1999,37,787
1999,38,825
1999,39,852
1999,40,834
1999,41,946
1999,42,822
1999,43,870
1999,44,892
1999,45,841
1999,46,806
1999,47,823
1999,48,874
1999,49,843
1999,50,889
1999,51,707
1999,52,524
1999,53,396
2000,1,949
2000,2,913
2000,3,832
2000,4,792
2000,5,921
2000,6,970
2000,7,966
2000,8,963
2000,9,1163
2000,10,1072
2000,11,1043
2000,12,1002
2000,13,1035
2000,14,1017
2000,15,1122
2000,16,1021
2000,17,972
2000,18,1168
2000,19,1068
2000,20,1037
2000,21,1048
2000,22,1183
2000,23,1046
2000,24,1056
2000,25,1092
2000,26,1159
2000,27,1123
2000,28,1176
2000,29,1109
2000,30,1128
2000,31,1128
2000,32,992
2000,33,982
2000,34,1023
2000,35,1195
2000,36,1008
2000,37,1026
2000,38,1062
2000,39,954
2000,40,991
2000,41,977
2000,42,1012
2000,43,1030
2000,44,991
2000,45,1015
2000,46,940
2000,47,877
2000,48,915
2000,49,913
2000,50,873
2000,51,787
2000,52,1179
2001,1,1163
2001,2,995
2001,3,908
2001,4,901
2001,5,965
2001,6,880
2001,7,868
2001,8,893
2001,9,1051
2001,10,971
2001,11,1028
2001,12,1064
2001,13,1024
2001,14,1053
2001,15,1139
2001,16,1075
2001,17,1111
2001,18,1188
2001,19,1066
2001,20,1128
2001,21,1051
2001,22,1051
2001,23,1025
2001,24,1114
2001,25,1084
2001,26,1103
2001,27,999
2001,28,1110
2001,29,1029
2001,30,994
2001,31,1067
2001,32,1069
2001,33,995
2001,34,1022
2001,35,1038
2001,36,973
2001,37,936
2001,38,898
2001,39,866
2001,40,852
2001,41,779
2001,42,758
2001,43,798
2001,44,919
2001,45,787
2001,46,762
2001,47,761
2001,48,756
2001,49,635
2001,50,623
2001,51,600
2001,52,529
2002,1,878
2002,2,645
2002,3,693
2002,4,772
2002,5,871
2002,6,685
2002,7,668
2002,8,700
2002,9,842
2002,10,866
2002,11,900
2002,12,909
2002,13,826
2002,14,882
2002,15,910
2002,16,988
2002,17,870
2002,18,924
2002,19,944
2002,20,892
2002,21,991
2002,22,1027
2002,23,1016
2002,24,997
